handle,source_code,eligible_for_bounty
supabase,https://github.com/supabase,False
pagerduty,https://github.com/rundeck/rundeck-cli,False
pagerduty,https://github.com/rundeck/rundeck,False
nimiq,https://github.com/nimiq/core-rs-albatross,True
chia_network,https://github.com/Chia-Network/chiapos,True
chia_network,https://github.com/Chia-Network/clvm_rs,True
chia_network,https://github.com/Chia-Network/chiavdf,True
chia_network,https://github.com/Chia-Network/chia_rs,True
chia_network,https://github.com/Chia-Network/chia-blockchain-gui,True
chia_network,https://github.com/Chia-Network/chia-blockchain,True
alchemyplatform,https://github.com/alchemyplatform/modular-account,True
toolsforhumanity,https://github.com/worldcoin,True
dynatrace,https://github.com/Dynatrace-innovationlab,True
dynatrace,https://github.com/Dynatrace,True
leather_wallet,https://github.com/leather-wallet/extension,True
fireblocks_mpc,https://github.com/fireblocks/mpc-lib,True
